id,cleaning_fee,price,bedrooms,beds,bathrooms,personCapacity,reviewsCount,isSuperhost,avgRating,lat,lng
41525832,0,17,1.0,1.0,1.0,2,4,False,5.0,4.68788,-74.06753
41822901,12,19,3.0,3.0,2.0,5,2,True,,4.75451,-74.02338
44418702,12,17,1.0,2.0,1.0,3,0,False,,4.6972,-74.08955
39278693,8,17,2.0,2.0,2.5,3,7,True,5.0,4.72249,-74.13256
26452933,11,17,1.0,1.0,1.0,2,42,True,4.83,4.72745,-74.04219
32844332,17,19,1.0,3.0,1.0,4,3,False,3.67,4.63977,-74.06573
3489408,12,17,0.0,1.0,1.0,2,118,True,4.76,4.69836,-74.06024
29189522,8,19,1.0,1.0,1.0,6,24,False,4.29,4.6424,-74.07002
41525832,0,17,1.0,1.0,1.0,2,4,False,5.0,4.68788,-74.06753
35803686,8,19,3.0,5.0,1.0,8,27,True,4.96,4.75622,-74.03175
37721323,13,19,2.0,4.0,2.0,4,16,True,4.94,4.67156,-74.12319
40034424,18,17,1.0,3.0,1.0,5,3,True,5.0,4.64389,-74.05705
33531427,5,18,1.0,2.0,1.0,3,82,True,4.83,4.67016,-74.11078
44477618,8,17,1.0,2.0,1.0,4,0,False,,4.64089,-74.07084
39748475,7,19,1.0,1.0,1.0,2,9,True,4.89,4.6399,-74.12891
36811418,11,19,1.0,1.0,1.0,4,7,True,4.86,4.72955,-74.04511
41144733,12,19,1.0,2.0,1.0,2,9,True,5.0,4.64538,-74.06147
26381371,0,19,1.0,1.0,1.0,3,117,False,4.67,4.59896,-74.06784
44491132,8,17,1.0,2.0,1.0,4,0,False,,4.62582,-74.07172
35716088,20,18,0.0,1.0,1.0,2,12,True,4.83,4.62946,-74.0231
44323967,8,17,1.0,2.0,1.0,6,0,False,,4.64216,-74.07135
44477618,8,17,1.0,2.0,1.0,4,0,False,,4.64089,-74.07084
32989093,0,19,1.0,1.0,1.0,2,15,True,4.93,4.72768,-74.046
19909833,18,18,1.0,2.0,1.0,3,63,True,4.84,4.64949,-74.08778
44418702,12,17,1.0,2.0,1.0,3,0,False,,4.6972,-74.08955
28812436,15,17,1.0,1.0,1.0,2,17,False,4.71,4.67011,-74.06522
41376223,11,19,2.0,2.0,1.0,3,7,True,4.86,4.7291,-74.04285
32616020,9,19,1.0,1.0,1.0,2,30,False,4.63,4.69191,-74.09408
44087589,5,19,1.0,2.0,1.0,3,2,False,,4.60191,-74.07189
42753054,12,18,2.0,2.0,1.0,4,3,False,5.0,4.61497,-74.0719
42293042,0,17,1.0,1.0,1.0,2,7,False,5.0,4.71381,-74.11173
27923286,5,19,2.0,3.0,1.0,3,170,True,4.84,4.67194,-74.11094
41483490,16,19,2.0,3.0,2.0,5,6,False,4.5,4.70525,-74.05696
42759329,0,19,1.0,1.0,1.0,2,1,False,,4.6517,-74.0611
42046431,24,19,1.0,4.0,1.0,4,5,False,4.4,4.69964,-74.03075
24911554,12,18,1.0,2.0,1.5,3,12,False,4.42,4.69157,-74.04851
42931023,9,18,1.0,,1.0,3,3,False,5.0,4.70033,-74.09159
42510210,0,17,1.0,1.0,1.0,2,2,False,,4.63351,-74.07207
21460994,20,18,1.0,1.0,1.0,2,11,True,4.91,4.62478,-74.1256
39950282,9,18,3.0,5.0,2.0,7,32,True,4.94,4.67877,-74.10233
27238212,15,17,3.0,3.0,1.0,6,37,False,4.65,4.68068,-74.13503
42759329,0,19,1.0,1.0,1.0,2,1,False,,4.6517,-74.0611
39815578,15,18,1.0,1.0,1.0,2,9,False,4.67,4.64481,-74.05599
42046431,24,19,1.0,4.0,1.0,4,5,False,4.4,4.69964,-74.03075
43986419,15,17,1.0,1.0,1.0,2,3,False,5.0,4.64419,-74.0564
33531873,5,18,1.0,3.0,1.0,4,109,True,4.83,4.67198,-74.11006
44515028,12,19,1.0,2.0,2.0,3,0,False,,4.69702,-74.07371
17135636,7,17,1.0,1.0,1.0,3,136,True,4.78,4.67383,-74.1396
30877622,8,19,1.0,1.0,1.0,4,15,False,4.33,4.6415,-74.07169
32469971,7,18,1.0,1.0,1.0,2,18,False,4.56,4.64214,-74.07138
44150629,0,17,3.0,3.0,2.0,4,0,False,,4.66373,-74.12774
31874860,7,18,2.0,2.0,1.0,4,10,True,4.9,4.61639,-74.06485
39387423,0,17,1.0,1.0,1.0,1,15,False,4.87,4.7333,-74.04714
19119670,8,19,0.0,1.0,1.0,2,17,False,4.65,4.6312,-74.09576
36278164,12,18,1.0,1.0,1.0,2,14,True,4.93,4.62653,-74.06665
38822300,8,17,1.0,3.0,1.0,3,8,False,5.0,4.66163,-74.06465
14232898,16,17,1.0,1.0,1.5,2,7,True,4.86,4.68513,-74.10208
39925584,5,17,1.0,2.0,1.0,3,6,False,5.0,4.63288,-74.08706
32989093,0,19,1.0,1.0,1.0,2,15,True,4.93,4.72768,-74.046
44518717,8,18,1.0,2.0,1.0,4,0,False,,4.64263,-74.06988
44464178,8,17,1.0,2.0,1.0,4,0,False,,4.64243,-74.07134
43986419,15,17,1.0,1.0,1.0,2,3,False,5.0,4.64419,-74.0564
42279785,8,17,1.0,2.0,1.0,3,5,False,4.8,4.65294,-74.06826
39584934,5,19,1.0,1.0,1.0,2,6,False,4.5,4.63196,-74.08857
